A,p,t,R_train_A_p,R_validation_A_p
9,1.0,1.38,1.0,0.25
39,1.0,7.43,0.76,0.72
32,1.0,12.62,0.75,0.71
37,1.0,4.65,0.76,0.71
38,1.0,7.47,0.76,0.72
4,0.1,0.24,1.0,0.1
5,0.1,1.13,1.0,0.28
7,0.1,0.2,1.0,0.11
13,0.1,1.01,1.0,0.27
23,0.1,0.45,1.0,0.52
4,0.2,0.33,1.0,0.15
5,0.2,1.62,1.0,0.43
7,0.2,0.2,1.0,0.17
13,0.2,1.94,1.0,0.33
23,0.2,0.78,1.0,0.62
4,0.4,0.58,1.0,0.15
5,0.4,2.73,0.99,0.49
7,0.4,0.4,1.0,0.2
13,0.4,4.14,1.0,0.38
23,0.4,3.43,1.0,0.66
4,0.8,1.11,1.0,0.18
5,0.8,4.78,0.92,0.54
7,0.8,0.83,1.0,0.24
13,0.8,13.01,1.0,0.46
23,0.8,10.41,1.0,0.69
4,1.0,1.29,1.0,0.2
5,1.0,5.89,0.88,0.57
7,1.0,1.05,1.0,0.25
13,1.0,19.94,1.0,0.47
23,1.0,11.96,1.0,0.7
4,1.0,1.29,1.0,0.2
5,1.0,5.89,0.88,0.57
7,1.0,1.05,1.0,0.25
13,1.0,19.94,1.0,0.47
23,1.0,11.96,1.0,0.7
4,1.0,1.29,1.0,0.2
5,1.0,5.89,0.88,0.57
7,1.0,1.05,1.0,0.25
13,1.0,19.94,1.0,0.47
23,1.0,11.96,1.0,0.7
4,1.0,1.29,1.0,0.2
5,1.0,5.89,0.88,0.57
7,1.0,1.05,1.0,0.25
13,1.0,19.94,1.0,0.47
23,1.0,11.96,1.0,0.7
4,1.0,1.29,1.0,0.2
5,1.0,5.89,0.88,0.57
7,1.0,1.05,1.0,0.25
13,1.0,19.94,1.0,0.47
23,1.0,11.96,1.0,0.7
4,1.0,1.29,1.0,0.2
5,1.0,5.89,0.88,0.57
7,1.0,1.05,1.0,0.25
13,1.0,19.94,1.0,0.47
23,1.0,11.96,1.0,0.7
4,1.0,1.29,1.0,0.2
5,1.0,5.89,0.88,0.57
7,1.0,1.05,1.0,0.25
13,1.0,19.94,1.0,0.47
23,1.0,11.96,1.0,0.7
4,1.0,1.29,1.0,0.2
5,1.0,5.89,0.88,0.57
7,1.0,1.05,1.0,0.25
13,1.0,19.94,1.0,0.47
23,1.0,11.96,1.0,0.7
4,1.0,1.29,1.0,0.2
5,1.0,5.89,0.88,0.57
7,1.0,1.05,1.0,0.25
13,1.0,19.94,1.0,0.47
23,1.0,11.96,1.0,0.7
4,1.0,1.29,1.0,0.2
5,1.0,5.89,0.88,0.57
7,1.0,1.05,1.0,0.25
13,1.0,19.94,1.0,0.47
23,1.0,11.96,1.0,0.7
4,1.0,1.29,1.0,0.2
5,1.0,5.89,0.88,0.57
7,1.0,1.05,1.0,0.25
13,1.0,19.94,1.0,0.47
23,1.0,11.96,1.0,0.7
4,1.0,1.29,1.0,0.2
