dataset,alc
15,0.61
16,0.22
17,0.61
18,0.38
19,0.42
20,0.55
21,0.22
22,0.12
23,0.41
24,0.13
25,0.68
26,0.27
27,0.59
28,0.21
29,0.42
AVERAGE,0.39
