dataset,alc
15,0.53
16,0.0
17,0.24
18,0.37
19,0.36
20,0.54
21,0.0
22,0.08
23,-0.01
24,0.0
25,0.66
26,0.21
27,0.38
28,0.0
29,0.41
AVERAGE,0.25
