A,p,t,R_train_A_p,R_validation_A_p
37,0.1,0.73,0.8,0.37
37,0.2,1.34,0.78,0.41
37,0.3,1.97,0.78,0.44
37,0.4,2.52,0.76,0.46
37,0.5,3.17,0.76,0.47
37,0.6,3.77,0.75,0.47
37,0.7,4.43,0.74,0.48
37,0.8,4.94,0.74,0.48
37,0.9,5.52,0.73,0.48
37,1.0,11.53,0.73,0.48
14,0.1,3.4,1.0,0.06
14,0.2,7.87,1.0,0.07
14,0.3,14.23,1.0,0.09
14,0.4,22.54,1.0,0.12
14,0.5,34.6,1.0,0.14
14,0.6,47.64,1.0,0.14
14,0.7,63.53,1.0,0.15
14,0.8,80.88,1.0,0.17
14,0.9,94.8,1.0,0.17
14,1.0,113.14,1.0,0.17
24,0.1,148.69,0.99,-1.39
32,0.1,1.8,0.69,0.38
32,0.2,3.3,0.63,0.43
32,0.3,4.87,0.61,0.46
32,0.4,6.16,0.59,0.48
24,0.2,302.74,0.99,-1.34
24,0.3,209.89,None,None
