dataset,alc
15,0.66
16,0.01
17,0.63
18,0.35
19,0.39
20,0.54
21,0.49
22,0.06
23,0.44
24,0.18
25,0.68
26,0.3
27,0.19
28,0.02
29,0.24
AVERAGE,0.35
