dataset,alc
15,0.67
16,0.02
17,0.66
18,0.29
19,0.0
20,0.49
21,0.48
22,0.06
23,0.37
24,0.15
25,0.65
26,0.29
27,0.55
28,0.24
29,0.41
AVERAGE,0.36
