dataset,alc
15,0.65
16,0.02
17,0.64
18,0.31
19,0.39
20,0.54
21,0.5
22,0.06
23,0.43
24,0.1
25,0.64
26,0.05
27,0.58
28,0.24
29,0.41
AVERAGE,0.37
