A,p,t,R_train_A_p,R_validation_A_p
33,0.1,3.83,0.87,0.12
33,0.2,5.47,0.83,0.19
33,0.3,7.22,0.83,0.24
33,0.4,8.46,0.81,0.26
33,0.5,9.67,0.81,0.28
33,0.6,9.77,0.79,0.31
33,0.7,11.73,0.78,0.32
33,0.8,12.23,0.76,0.33
33,0.9,13.29,0.76,0.34
33,1.0,14.56,0.75,0.35
31,0.1,3.0,0.21,0.04
31,0.2,4.71,0.12,0.06
31,0.3,5.99,0.12,0.07
31,0.4,7.11,0.13,0.07
31,0.5,8.51,0.12,0.07
31,0.6,9.55,0.11,0.08
31,0.7,10.31,0.12,0.08
31,0.8,11.26,0.12,0.08
31,0.9,12.65,0.12,0.08
31,1.0,14.01,0.12,0.09
37,0.1,0.96,0.88,0.12
37,0.2,1.26,0.84,0.19
37,0.3,1.48,0.83,0.24
37,0.4,1.68,0.82,0.26
37,0.5,1.9,0.82,0.28
37,0.6,2.06,0.8,0.31
37,0.7,2.31,0.79,0.33
37,0.8,2.46,0.78,0.34
37,0.9,2.71,0.78,0.35
37,1.0,2.87,0.77,0.36
6,0.1,3.34,1.0,0.25
6,0.2,1.91,0.83,0.29
6,0.3,2.5,0.8,0.35
6,0.4,3.24,0.78,0.35
6,0.5,4.08,0.79,0.4
6,0.6,4.83,0.76,0.41
6,0.7,5.62,0.75,0.42
6,0.8,6.69,0.75,0.42
6,0.9,7.85,0.74,0.43
6,1.0,8.87,0.74,0.43
32,0.1,2.57,0.85,0.1
29,0.1,945.48,None,None
