A,p,t,R_train_A_p,R_validation_A_p
3,0.1,3.47,0.97,-0.38
3,0.2,4.68,0.98,-0.53
3,0.3,6.19,0.99,-0.54
3,0.4,6.58,0.99,-0.71
3,0.5,7.82,0.99,-0.61
3,0.6,10.35,0.99,-0.64
3,0.7,12.34,0.99,-0.78
3,0.8,13.46,0.99,-0.75
3,0.9,15.3,1.0,-0.81
3,1.0,17.76,1.0,-0.61
38,0.1,2.25,0.31,0.3
38,0.2,3.45,0.31,0.31
38,0.3,4.59,0.32,0.31
38,0.4,5.75,0.33,0.33
38,0.5,7.07,0.32,0.33
38,0.6,8.38,0.31,0.34
38,0.7,9.48,0.3,0.34
38,0.8,10.68,0.3,0.34
38,0.9,11.92,0.3,0.34
38,1.0,13.12,0.3,0.34
26,0.1,51.34,1.0,-2.72
26,0.2,156.99,1.0,-2.51
26,0.3,286.65,1.0,-2.69
26,0.4,400.44,1.0,-2.45
26,0.5,129.94,None,None
