A,p,t,R_train_A_p,R_validation_A_p
0,0.1,0.72,0.05,0.02
10,0.1,0.63,0.99,0.04
38,0.1,1.55,0.88,0.12
39,0.1,2.47,0.88,0.12
0,0.2,0.91,0.06,0.03
10,0.2,0.94,0.99,0.06
38,0.2,2.1,0.84,0.19
39,0.2,3.04,0.84,0.19
0,0.3,1.21,0.03,0.02
10,0.3,1.33,0.98,0.08
38,0.3,2.39,0.83,0.24
39,0.3,3.58,0.83,0.24
0,0.4,1.37,0.03,0.03
10,0.4,2.27,0.98,0.08
38,0.4,2.49,0.82,0.26
39,0.4,4.1,0.82,0.26
0,0.5,1.59,0.03,0.03
10,0.5,2.89,0.98,0.09
38,0.5,3.02,0.82,0.28
39,0.5,4.67,0.82,0.28
0,0.6,1.65,0.03,0.03
10,0.6,3.48,0.97,0.09
38,0.6,3.49,0.8,0.31
39,0.6,5.06,0.81,0.31
0,0.7,1.78,0.03,0.03
10,0.7,4.27,0.97,0.09
38,0.7,3.69,0.8,0.33
39,0.7,5.62,0.8,0.33
0,0.8,1.91,0.03,0.03
10,0.8,5.43,0.97,0.11
38,0.8,4.04,0.78,0.33
39,0.8,6.19,0.78,0.33
0,0.9,2.05,0.03,0.02
10,0.9,6.28,0.97,0.11
38,0.9,4.53,0.78,0.35
39,0.9,6.83,0.78,0.35
0,0.1,0.72,0.05,0.02
10,0.1,0.63,0.99,0.04
38,0.1,1.55,0.88,0.12
39,0.1,2.47,0.88,0.12
0,0.1,0.72,0.05,0.02
10,0.1,0.63,0.99,0.04
38,0.1,1.55,0.88,0.12
39,0.1,2.47,0.88,0.12
0,0.1,0.72,0.05,0.02
10,0.1,0.63,0.99,0.04
38,0.1,1.55,0.88,0.12
39,0.1,2.47,0.88,0.12
0,0.1,0.72,0.05,0.02
10,0.1,0.63,0.99,0.04
38,0.1,1.55,0.88,0.12
39,0.1,2.47,0.88,0.12
0,0.1,0.72,0.05,0.02
10,0.1,0.63,0.99,0.04
38,0.1,1.55,0.88,0.12
39,0.1,2.47,0.88,0.12
0,0.1,0.72,0.05,0.02
10,0.1,0.63,0.99,0.04
38,0.1,1.55,0.88,0.12
39,0.1,2.47,0.88,0.12
0,0.1,0.72,0.05,0.02
10,0.1,0.63,0.99,0.04
38,0.1,1.55,0.88,0.12
39,0.1,2.47,0.88,0.12
0,0.1,0.72,0.05,0.02
10,0.1,0.63,0.99,0.04
38,0.1,1.55,0.88,0.12
39,0.1,2.47,0.88,0.12
0,0.1,0.72,0.05,0.02
10,0.1,0.63,0.99,0.04
38,0.1,1.55,0.88,0.12
39,0.1,2.47,0.88,0.12
0,0.1,0.72,0.05,0.02
10,0.1,0.63,0.99,0.04
38,0.1,1.55,0.88,0.12
39,0.1,2.47,0.88,0.12
0,0.1,0.72,0.05,0.02
10,0.1,0.63,0.99,0.04
38,0.1,1.55,0.88,0.12
39,0.1,2.47,0.88,0.12
0,0.1,0.72,0.05,0.02
10,0.1,0.63,0.99,0.04
38,0.1,1.55,0.88,0.12
39,0.1,2.47,0.88,0.12
0,0.1,0.72,0.05,0.02
10,0.1,0.63,0.99,0.04
38,0.1,1.55,0.88,0.12
39,0.1,2.47,0.88,0.12
0,0.1,0.72,0.05,0.02
10,0.1,0.63,0.99,0.04
38,0.1,1.55,0.88,0.12
39,0.1,2.47,0.88,0.12
