A,p,t,R_train_A_p,R_validation_A_p
36,0.1,0.5,0.79,0.37
36,0.2,0.96,0.77,0.41
36,0.3,1.52,0.75,0.44
36,0.4,1.87,0.75,0.46
36,0.5,2.28,0.74,0.47
36,0.6,2.74,0.73,0.47
36,0.7,3.16,0.72,0.48
36,0.8,3.52,0.71,0.48
36,0.9,4.07,0.71,0.48
36,1.0,4.3,0.7,0.48
37,0.1,0.73,0.8,0.37
37,0.2,1.34,0.78,0.41
37,0.3,1.97,0.78,0.44
37,0.4,2.52,0.76,0.46
37,0.5,3.17,0.76,0.47
37,0.6,3.77,0.75,0.47
37,0.7,4.43,0.74,0.48
37,0.8,4.94,0.74,0.48
37,0.9,5.52,0.73,0.48
37,1.0,11.53,0.73,0.48
38,0.1,0.74,0.8,0.37
38,0.2,1.35,0.78,0.41
38,0.3,2.03,0.78,0.44
38,0.4,2.56,0.76,0.46
38,0.5,3.25,0.76,0.47
38,0.6,3.88,0.75,0.47
38,0.7,4.44,0.74,0.48
38,0.8,5.02,0.74,0.48
38,0.9,5.63,0.74,0.48
38,1.0,5.9,0.73,0.48
24,0.1,148.69,0.99,-1.39
24,0.2,302.74,0.99,-1.34
24,0.3,393.7,0.99,-1.24
24,0.4,255.23,None,None
