A,p,t,R_train_A_p,R_validation_A_p
37,0.1,1.85,0.31,0.3
32,0.1,4.63,0.3,0.3
34,0.1,4.91,0.31,0.3
30,0.1,3.29,0.0,-0.0
31,0.1,4.2,0.25,0.28
36,0.1,2.27,0.31,0.3
38,0.1,2.25,0.31,0.3
35,0.1,2.31,0.3,0.3
33,0.1,3.0,0.31,0.3
39,0.1,2.26,0.31,0.3
9,0.1,2.15,0.97,-0.42
8,0.1,2.1,0.97,-0.42
7,0.1,1.62,0.97,-0.42
6,0.1,27.79,0.97,-0.24
5,0.1,22.61,0.97,-0.23
4,0.1,1.87,0.97,-0.38
3,0.1,3.47,0.97,-0.38
2,0.1,1.87,0.97,-0.38
1,0.1,8.96,0.97,-0.16
0,0.1,18.84,0.97,-0.21
26,0.1,51.34,1.0,-2.72
9,0.2,3.23,0.98,-0.55
8,0.2,3.17,0.98,-0.55
7,0.2,2.44,0.98,-0.55
6,0.2,54.56,0.98,-0.31
5,0.2,44.89,0.98,-0.24
4,0.2,2.62,0.98,-0.53
9,0.3,4.3,0.99,-0.59
8,0.3,4.22,0.99,-0.59
7,0.3,70.05,0.99,-0.36
6,0.3,83.08,0.99,-0.33
9,0.4,5.81,0.99,-0.62
8,0.4,5.58,0.99,-0.62
7,0.4,100.58,0.99,-0.35
4,0.4,4.52,0.99,-0.71
9,0.5,7.25,0.99,-0.61
8,0.5,7.09,0.99,-0.61
7,0.5,109.94,0.99,-0.41
6,0.5,140.85,0.99,-0.32
9,0.6,8.61,0.99,-0.79
6,0.7,223.54,0.99,-0.34
37,0.7,7.84,0.3,0.34
9,0.8,11.19,0.99,-0.84
37,0.9,9.46,0.3,0.34
32,0.9,27.48,0.29,0.34
9,1.0,15.32,1.0,-0.84
37,1.0,11.1,0.3,0.34
32,1.0,31.4,0.29,0.34
34,1.0,26.29,None,None
