A,p,t,R_train_A_p,R_validation_A_p
38,0.1,0.78,0.3,0.27
34,0.1,1.91,0.3,0.27
37,0.1,0.48,0.3,0.27
35,0.1,1.21,0.28,0.27
36,0.1,0.89,0.3,0.27
33,0.1,1.77,0.3,0.27
32,0.1,1.25,0.3,0.27
39,0.1,1.0,0.3,0.27
30,0.1,1.21,0.19,0.19
31,0.1,1.45,0.3,0.27
21,0.1,94.06,0.65,0.39
29,0.1,161.64,0.77,0.33
22,0.1,71.39,0.66,0.4
39,0.2,2.11,0.3,0.3
22,0.3,238.15,0.56,0.47
38,0.3,2.14,0.31,0.31
39,0.4,4.39,0.31,0.31
38,0.5,4.45,0.32,0.32
34,0.5,9.48,0.32,0.32
37,0.5,2.13,0.31,0.32
35,0.5,5.51,0.28,0.28
39,0.6,6.82,0.33,0.33
38,0.6,5.61,0.33,0.33
37,0.6,2.73,0.32,0.33
34,0.6,11.15,0.33,0.33
35,0.6,6.58,0.29,0.28
36,0.6,5.27,0.32,0.31
33,0.6,11.12,0.33,0.33
32,0.6,8.14,0.32,0.34
30,0.6,8.06,0.24,0.23
31,0.6,8.52,0.32,0.31
21,0.6,380.7,0.55,0.51
29,0.6,137.9,None,None
