A,p,t,R_train_A_p,R_validation_A_p
33,0.1,2.5,0.79,0.37
32,0.1,1.8,0.69,0.38
30,0.1,1.03,0.45,0.44
37,0.1,0.73,0.8,0.37
38,0.1,0.74,0.8,0.37
36,0.1,0.5,0.79,0.37
39,0.1,0.78,0.8,0.37
34,0.1,1.81,0.8,0.37
31,0.1,1.77,0.49,0.39
35,0.1,0.74,0.72,0.36
26,0.1,114.53,0.99,-2.21
27,0.1,164.82,0.99,-2.21
39,0.2,1.43,0.78,0.41
27,0.3,324.31,0.98,-1.13
33,0.3,7.2,0.75,0.45
39,0.4,2.74,0.76,0.46
33,0.5,12.25,0.72,0.47
39,0.6,4.04,0.75,0.47
33,0.6,14.5,0.71,0.47
32,0.6,8.94,0.57,0.49
30,0.6,4.1,0.48,0.48
37,0.6,3.77,0.75,0.47
38,0.6,3.88,0.75,0.47
36,0.6,2.74,0.73,0.47
34,0.6,10.65,0.75,0.47
31,0.6,7.51,0.5,0.48
35,0.6,3.16,0.58,0.45
26,0.6,442.87,0.98,-2.4
27,0.6,54.16,None,None
