A,p,t,R_train_A_p,R_validation_A_p
7,0.1,0.2,1.0,0.11
4,0.1,0.24,1.0,0.1
36,0.1,1.06,0.46,0.26
1,0.2,0.89,1.0,0.28
3,0.2,0.47,1.0,0.15
10,0.3,1.34,1.0,0.31
37,0.4,1.86,0.73,0.6
0,0.5,2.44,0.96,0.43
2,0.8,1.14,1.0,0.18
34,1.0,13.49,0.76,0.72
37,1.0,4.65,0.76,0.71
0,1.0,4.61,0.85,0.52
1,1.0,3.56,1.0,0.53
2,1.0,1.32,1.0,0.2
3,1.0,1.68,1.0,0.2
4,1.0,1.29,1.0,0.2
5,1.0,5.89,0.88,0.57
8,1.0,1.52,1.0,0.25
9,1.0,1.38,1.0,0.25
10,1.0,6.38,1.0,0.36
11,1.0,17.77,1.0,0.37
12,1.0,19.99,1.0,0.44
13,1.0,19.94,1.0,0.47
15,1.0,23.1,1.0,0.36
16,1.0,8.83,0.78,0.36
17,1.0,14.05,0.71,0.45
18,1.0,20.85,0.68,0.5
19,1.0,20.52,0.66,0.51
21,1.0,15.29,1.0,0.69
22,1.0,20.7,1.0,0.69
25,1.0,23.53,1.0,0.74
27,1.0,11.18,1.0,0.71
28,1.0,27.68,1.0,0.7
29,1.0,25.5,1.0,0.7
30,1.0,5.94,0.01,0.01
31,1.0,8.93,0.66,0.61
35,1.0,5.97,0.66,0.61
36,1.0,7.85,0.75,0.71
38,1.0,7.47,0.76,0.72
39,1.0,7.43,0.76,0.72
7,0.1,0.2,1.0,0.11
4,0.1,0.24,1.0,0.1
36,0.1,1.06,0.46,0.26
1,0.2,0.89,1.0,0.28
3,0.2,0.47,1.0,0.15
10,0.3,1.34,1.0,0.31
37,0.4,1.86,0.73,0.6
0,0.5,2.44,0.96,0.43
2,0.8,1.14,1.0,0.18
34,1.0,13.49,0.76,0.72
37,1.0,4.65,0.76,0.71
0,1.0,4.61,0.85,0.52
1,1.0,3.56,1.0,0.53
2,1.0,1.32,1.0,0.2
3,1.0,1.68,1.0,0.2
4,1.0,1.29,1.0,0.2
5,1.0,5.89,0.88,0.57
8,1.0,1.52,1.0,0.25
9,1.0,1.38,1.0,0.25
10,1.0,6.38,1.0,0.36
11,1.0,17.77,1.0,0.37
12,1.0,19.99,1.0,0.44
13,1.0,19.94,1.0,0.47
15,1.0,23.1,1.0,0.36
16,1.0,8.83,0.78,0.36
17,1.0,14.05,0.71,0.45
18,1.0,20.85,0.68,0.5
19,1.0,20.52,0.66,0.51
21,1.0,15.29,1.0,0.69
22,1.0,20.7,1.0,0.69
25,1.0,23.53,1.0,0.74
27,1.0,11.18,1.0,0.71
28,1.0,27.68,1.0,0.7
29,1.0,25.5,1.0,0.7
30,1.0,5.94,0.01,0.01
31,1.0,8.93,0.66,0.61
35,1.0,5.97,0.66,0.61
36,1.0,7.85,0.75,0.71
38,1.0,7.47,0.76,0.72
39,1.0,7.43,0.76,0.72
7,0.1,0.2,1.0,0.11
4,0.1,0.24,1.0,0.1
36,0.1,1.06,0.46,0.26
1,0.2,0.89,1.0,0.28
3,0.2,0.47,1.0,0.15
10,0.3,1.34,1.0,0.31
37,0.4,1.86,0.73,0.6
0,0.5,2.44,0.96,0.43
2,0.8,1.14,1.0,0.18
34,1.0,13.49,0.76,0.72
37,1.0,4.65,0.76,0.71
0,1.0,4.61,0.85,0.52
1,1.0,3.56,1.0,0.53
2,1.0,1.32,1.0,0.2
3,1.0,1.68,1.0,0.2
4,1.0,1.29,1.0,0.2
5,1.0,5.89,0.88,0.57
8,1.0,1.52,1.0,0.25
9,1.0,1.38,1.0,0.25
10,1.0,6.38,1.0,0.36
11,1.0,17.77,1.0,0.37
12,1.0,19.99,1.0,0.44
13,1.0,19.94,1.0,0.47
15,1.0,23.1,1.0,0.36
16,1.0,8.83,0.78,0.36
17,1.0,14.05,0.71,0.45
18,1.0,20.85,0.68,0.5
19,1.0,20.52,0.66,0.51
21,1.0,15.29,1.0,0.69
22,1.0,20.7,1.0,0.69
25,1.0,23.53,1.0,0.74
27,1.0,11.18,1.0,0.71
28,1.0,27.68,1.0,0.7
29,1.0,25.5,1.0,0.7
30,1.0,5.94,0.01,0.01
31,1.0,8.93,0.66,0.61
35,1.0,5.97,0.66,0.61
36,1.0,7.85,0.75,0.71
38,1.0,7.47,0.76,0.72
39,1.0,7.43,0.76,0.72
7,0.1,0.2,1.0,0.11
4,0.1,0.24,1.0,0.1
36,0.1,1.06,0.46,0.26
1,0.2,0.89,1.0,0.28
3,0.2,0.47,1.0,0.15
10,0.3,1.34,1.0,0.31
37,0.4,1.86,0.73,0.6
0,0.5,2.44,0.96,0.43
2,0.8,1.14,1.0,0.18
34,1.0,13.49,0.76,0.72
37,1.0,4.65,0.76,0.71
0,1.0,4.61,0.85,0.52
1,1.0,3.56,1.0,0.53
2,1.0,1.32,1.0,0.2
3,1.0,1.68,1.0,0.2
4,1.0,1.29,1.0,0.2
5,1.0,5.89,0.88,0.57
8,1.0,1.52,1.0,0.25
9,1.0,1.38,1.0,0.25
10,1.0,6.38,1.0,0.36
11,1.0,17.77,1.0,0.37
12,1.0,19.99,1.0,0.44
13,1.0,3.04,None,None
