A,p,t,R_train_A_p,R_validation_A_p
38,0.1,0.9,0.44,0.35
34,0.1,2.64,0.44,0.35
31,0.1,1.73,0.41,0.35
37,0.1,0.72,0.44,0.35
23,0.1,52.96,1.0,0.31
21,0.1,116.26,1.0,0.32
27,0.1,28.34,1.0,0.34
38,0.2,1.71,0.44,0.38
37,0.2,1.29,0.44,0.38
34,0.2,4.81,0.44,0.38
31,0.2,2.98,0.42,0.39
23,0.2,118.62,0.99,0.31
21,0.2,138.53,0.95,0.35
38,0.3,2.34,0.43,0.39
21,0.4,242.81,0.72,0.4
38,0.4,3.08,0.44,0.4
38,0.5,3.89,0.43,0.41
38,0.6,4.79,0.43,0.42
38,0.7,5.48,0.43,0.42
34,0.7,14.53,0.43,0.42
31,0.7,9.38,0.41,0.41
37,0.7,3.76,0.43,0.42
23,0.7,288.42,0.68,0.45
21,0.7,150.03,None,None
