A,p,t,R_train_A_p,R_validation_A_p
34,0.1,21.97,0.04,0.04
39,0.1,17.89,0.04,0.04
30,0.1,13.69,0.02,0.02
36,0.1,10.39,0.04,0.04
31,0.1,26.93,0.04,0.03
32,0.1,20.44,0.04,0.04
33,0.1,26.71,0.04,0.04
38,0.1,18.89,0.04,0.04
39,0.2,43.39,0.05,0.05
36,0.2,25.78,0.05,0.05
34,0.2,46.28,0.05,0.05
33,0.2,57.85,0.05,0.05
39,0.3,62.77,0.06,0.06
38,0.3,59.24,0.06,0.06
39,0.4,80.18,0.07,0.06
33,0.4,108.61,0.07,0.06
39,0.5,98.93,0.07,0.07
33,0.6,165.72,0.08,0.08
39,0.7,139.9,0.09,0.08
33,0.8,154.44,None,None
