A,p,t,R_train_A_p,R_validation_A_p
9,1.0,2.72,1.0,0.37
39,1.0,7.46,0.43,0.43
32,1.0,19.43,0.43,0.43
37,1.0,6.03,0.43,0.43
38,1.0,7.62,0.43,0.44
4,0.1,0.27,1.0,0.29
5,0.1,3.19,0.89,0.35
7,0.1,0.22,1.0,0.29
13,0.1,7.48,1.0,0.15
23,0.1,52.96,1.0,0.31
4,0.2,0.45,1.0,0.31
5,0.2,6.1,0.68,0.34
7,0.2,0.4,1.0,0.31
13,0.2,21.52,1.0,0.15
23,0.2,118.62,0.99,0.31
4,0.4,0.84,1.0,0.31
5,0.4,12.73,0.54,0.35
7,0.4,0.84,1.0,0.32
13,0.4,68.07,1.0,0.19
23,0.4,182.32,0.72,0.42
4,0.8,1.76,1.0,0.33
5,0.8,25.48,0.48,0.39
7,0.8,65.84,1.0,0.45
13,0.8,251.05,1.0,0.18
23,0.8,319.81,0.64,0.45
4,1.0,2.27,1.0,0.34
5,1.0,14.52,None,None
