dataset,alc
15,0.35
16,0.44
17,0.04
18,0.37
19,0.15
20,0.47
21,0.44
22,0.05
23,0.28
24,0.2
25,0.6
26,0.28
27,0.6
28,0.02
29,0.37
AVERAGE,0.31
