dataset,alc
15,0.57
16,0.01
17,0.51
18,0.37
19,0.16
20,0.47
21,0.44
22,0.05
23,0.39
24,0.15
25,0.59
26,0.28
27,0.55
28,0.24
29,0.4
AVERAGE,0.35
