dataset,alc
15,0.56
16,0.0
17,0.69
18,0.37
19,0.16
20,0.47
21,0.43
22,0.05
23,0.43
24,0.18
25,0.6
26,0.28
27,0.57
28,0.24
29,0.38
AVERAGE,0.36
