dataset,alc
15,0.0
16,0.18
17,0.0
18,0.32
19,0.31
20,0.53
21,0.47
22,0.12
23,0.0
24,0.0
25,0.67
26,0.0
27,0.56
28,0.0
29,0.16
AVERAGE,0.22
