dataset,alc
15,0.63
16,0.29
17,0.37
18,0.37
19,0.36
20,0.5
21,0.46
22,0.12
23,0.23
24,0.08
25,0.6
26,0.25
27,0.57
28,0.18
29,0.35
AVERAGE,0.36
