dataset,alc
15,0.62
16,0.29
17,0.37
18,0.36
19,0.36
20,0.5
21,0.45
22,0.12
23,0.23
24,0.08
25,0.61
26,0.26
27,0.0
28,0.18
29,0.35
AVERAGE,0.32
