A,p,t,R_train_A_p,R_validation_A_p
15,0.1,0.93,0.99,0.04
15,0.2,1.37,0.99,0.06
15,0.3,2.56,0.98,0.08
15,0.4,3.56,0.98,0.08
15,0.5,4.87,0.98,0.09
15,0.6,6.87,0.97,0.09
15,0.7,8.68,0.97,0.09
15,0.8,11.02,0.97,0.11
15,0.9,13.01,0.97,0.11
15,1.0,15.03,0.97,0.12
10,0.1,0.63,0.99,0.04
10,0.2,0.94,0.99,0.06
10,0.3,1.33,0.98,0.08
10,0.4,2.27,0.98,0.08
10,0.5,2.89,0.98,0.09
10,0.6,3.48,0.97,0.09
10,0.7,4.27,0.97,0.09
10,0.8,5.43,0.97,0.11
10,0.9,6.28,0.97,0.11
10,1.0,7.35,0.97,0.12
12,0.1,0.91,1.0,0.05
12,0.2,1.93,1.0,0.08
12,0.3,2.82,1.0,0.12
12,0.4,4.29,1.0,0.14
12,0.5,5.62,1.0,0.14
12,0.6,7.73,1.0,0.16
12,0.7,8.69,1.0,0.14
12,0.8,11.47,1.0,0.16
12,0.9,14.63,1.0,0.16
12,1.0,16.48,1.0,0.17
11,0.1,0.86,0.99,0.04
11,0.2,1.31,0.99,0.08
11,0.3,2.0,0.99,0.1
11,0.4,2.82,0.99,0.11
11,0.5,3.82,0.99,0.12
11,0.6,4.87,0.99,0.14
11,0.7,6.06,0.99,0.14
11,0.8,7.37,0.99,0.15
11,0.9,9.47,0.99,0.15
11,1.0,11.22,0.99,0.15
16,0.1,0.69,0.93,0.04
16,0.2,0.94,0.93,0.08
16,0.3,1.41,0.93,0.1
16,0.4,1.75,0.92,0.11
16,0.5,2.19,0.92,0.12
16,0.6,2.7,0.92,0.13
16,0.7,3.02,0.92,0.14
16,0.8,4.11,0.92,0.15
16,0.9,4.3,0.92,0.14
16,1.0,5.38,0.92,0.14
0,0.1,0.72,0.05,0.02
0,0.2,0.91,0.06,0.03
0,0.3,1.21,0.03,0.02
0,0.4,1.37,0.03,0.03
0,0.5,1.59,0.03,0.03
0,0.6,1.65,0.03,0.03
0,0.7,1.78,0.03,0.03
0,0.8,1.91,0.03,0.03
0,0.9,2.05,0.03,0.02
0,1.0,2.39,0.02,0.02
30,0.1,2.33,0.05,0.01
30,0.2,4.34,0.05,0.03
30,0.3,5.94,0.03,0.02
30,0.4,6.6,0.03,0.03
30,0.5,7.94,0.0,0.0
30,0.6,8.59,0.0,0.0
30,0.7,9.1,0.0,0.0
30,0.8,9.74,0.0,0.0
30,0.9,10.22,0.0,0.0
30,1.0,11.08,0.0,0.0
17,0.1,0.89,0.9,0.07
17,0.2,2.1,0.88,0.09
17,0.3,3.24,0.86,0.13
17,0.4,5.22,0.86,0.15
17,0.5,6.82,0.84,0.14
17,0.6,9.63,0.85,0.16
17,0.7,11.16,0.85,0.13
17,0.8,14.3,0.84,0.15
17,0.9,17.41,0.85,0.16
17,1.0,19.99,0.85,0.17
18,0.1,1.32,0.85,0.07
18,0.2,2.14,0.81,0.11
18,0.3,2.55,0.8,0.12
18,0.4,3.74,0.8,0.15
18,0.5,4.71,0.79,0.16
18,0.6,6.16,0.79,0.19
18,0.7,7.41,0.77,0.19
18,0.8,10.3,0.76,0.18
18,0.9,13.87,0.77,0.2
18,1.0,16.93,0.77,0.21
13,0.1,0.81,1.0,0.05
13,0.2,1.42,1.0,0.09
13,0.3,1.92,1.0,0.1
13,0.4,2.79,1.0,0.14
13,0.5,3.4,1.0,0.13
13,0.6,4.53,1.0,0.19
13,0.7,4.81,1.0,0.18
13,0.8,6.47,1.0,0.18
13,0.9,7.55,1.0,0.2
13,1.0,8.65,1.0,0.2
14,0.1,0.92,1.0,0.07
14,0.2,1.93,1.0,0.08
14,0.3,2.81,1.0,0.1
14,0.4,4.32,1.0,0.13
14,0.5,5.67,1.0,0.13
14,0.6,7.75,1.0,0.16
14,0.7,8.59,1.0,0.19
14,0.8,11.61,1.0,0.2
14,0.9,14.41,1.0,0.21
14,1.0,16.18,1.0,0.2
4,0.1,2.79,1.0,0.19
4,0.2,3.74,1.0,0.19
4,0.3,5.46,1.0,0.2
4,0.4,6.94,1.0,0.2
4,0.5,9.3,1.0,0.21
4,0.6,10.58,1.0,0.2
4,0.7,8.71,0.99,0.19
4,0.8,9.23,0.99,0.2
4,0.9,11.27,0.99,0.2
4,1.0,13.15,0.99,0.22
19,0.1,0.94,0.78,0.06
19,0.2,2.03,0.75,0.08
19,0.3,2.99,0.72,0.12
19,0.4,4.57,0.7,0.16
19,0.5,5.99,0.7,0.17
19,0.6,8.07,0.7,0.17
19,0.7,9.05,0.7,0.2
19,0.8,11.97,0.7,0.21
19,0.9,14.83,0.71,0.22
19,1.0,16.85,0.7,0.21
1,0.1,2.36,1.0,0.19
1,0.2,1.42,0.23,0.07
1,0.3,1.76,0.2,0.07
1,0.4,2.03,0.15,0.08
1,0.5,2.32,0.13,0.09
1,0.6,2.6,0.12,0.08
1,0.7,2.89,0.12,0.08
1,0.8,3.19,0.14,0.1
1,0.9,3.62,0.13,0.09
1,1.0,3.74,0.11,0.09
9,0.1,3.5,1.0,0.25
9,0.2,5.32,1.0,0.25
9,0.3,5.43,1.0,0.25
9,0.4,8.0,1.0,0.27
9,0.5,9.2,1.0,0.31
9,0.6,10.86,1.0,0.27
9,0.7,12.22,1.0,0.31
9,0.8,12.52,1.0,0.31
9,0.9,15.79,1.0,0.3
9,1.0,18.16,1.0,0.34
29,0.1,293.09,None,None
