A,p,t,R_train_A_p,R_validation_A_p
34,0.1,4.91,0.31,0.3
34,0.2,7.88,0.31,0.31
34,0.3,9.96,0.32,0.31
34,0.4,13.74,0.33,0.33
34,0.5,16.36,0.32,0.33
34,0.6,19.93,0.31,0.34
34,0.7,24.55,0.3,0.34
34,0.8,27.46,0.3,0.34
34,0.9,29.0,0.3,0.34
34,1.0,33.78,0.3,0.34
35,0.1,2.31,0.3,0.3
35,0.2,3.45,0.3,0.31
35,0.3,4.64,0.31,0.31
35,0.4,5.83,0.33,0.32
35,0.5,7.2,0.32,0.33
35,0.6,8.56,0.31,0.33
35,0.7,9.71,0.3,0.33
35,0.8,10.87,0.3,0.34
35,0.9,12.11,0.3,0.33
35,1.0,13.6,0.3,0.34
18,0.1,242.02,0.39,0.25
18,0.2,648.85,0.44,0.23
18,0.3,43.28,None,None
