A,p,t,R_train_A_p,R_validation_A_p
26,0.4,7.78,1.0,0.68
16,0.2,0.83,0.78,0.28
16,0.9,7.55,0.78,0.36
13,1.0,19.94,1.0,0.47
27,0.1,0.49,1.0,0.53
14,0.1,0.98,1.0,0.27
25,0.3,3.46,1.0,0.63
2,0.3,0.5,1.0,0.12
28,0.9,23.01,1.0,0.7
27,0.9,9.52,1.0,0.7
14,0.9,10.96,1.0,0.48
28,0.4,6.17,1.0,0.66
33,0.1,1.03,0.46,0.26
25,1.0,23.53,1.0,0.74
20,0.7,22.66,1.0,0.7
3,0.5,0.83,1.0,0.16
8,0.4,0.68,1.0,0.2
3,0.5,0.83,1.0,0.16
4,0.2,0.33,1.0,0.15
19,0.5,6.08,0.63,0.45
10,0.7,3.45,1.0,0.35
36,0.5,3.6,0.73,0.65
8,0.1,0.26,1.0,0.11
35,0.1,0.75,0.46,0.25
37,0.4,1.86,0.73,0.6
36,0.8,6.33,0.75,0.69
10,1.0,6.38,1.0,0.36
32,0.1,1.39,0.46,0.26
24,0.4,1.43,1.0,0.65
22,0.2,2.61,1.0,0.63
13,1.0,19.94,1.0,0.47
27,1.0,11.18,1.0,0.71
12,0.8,12.78,1.0,0.42
6,0.7,8.39,1.0,0.54
18,0.9,17.32,0.67,0.49
31,0.1,1.0,0.45,0.23
20,1.0,29.73,1.0,0.72
25,0.5,8.97,1.0,0.67
1,0.3,1.22,1.0,0.32
12,0.6,7.58,1.0,0.4
36,0.3,2.0,0.65,0.49
21,0.7,10.5,1.0,0.69
13,0.5,5.87,1.0,0.41
6,0.7,8.39,1.0,0.54
35,0.6,3.43,0.6,0.55
34,0.8,11.97,0.76,0.69
34,0.4,6.0,0.73,0.61
4,0.1,0.24,1.0,0.1
5,0.3,2.16,1.0,0.48
10,0.3,1.34,1.0,0.31
34,0.4,6.0,0.73,0.61
17,0.6,5.79,0.7,0.41
38,0.9,6.66,0.76,0.71
16,0.6,4.02,0.79,0.35
21,0.6,9.3,1.0,0.69
7,0.5,0.49,1.0,0.22
15,1.0,23.1,1.0,0.36
31,0.3,2.73,0.48,0.35
37,0.9,4.58,0.76,0.71
6,0.6,7.6,1.0,0.51
2,0.7,0.99,1.0,0.19
4,0.7,0.95,1.0,0.19
9,0.3,0.37,1.0,0.18
21,0.2,2.21,1.0,0.62
39,1.0,7.43,0.76,0.72
24,0.2,0.49,1.0,0.62
36,0.9,7.05,0.75,0.7
14,1.0,13.4,1.0,0.49
5,0.5,3.14,0.98,0.51
23,0.5,4.63,1.0,0.67
36,0.9,7.05,0.75,0.7
7,0.8,0.83,1.0,0.24
17,0.2,2.05,0.69,0.3
2,0.5,0.71,1.0,0.16
0,1.0,4.61,0.85,0.52
0,0.2,1.25,1.0,0.36
26,0.2,3.62,1.0,0.63
2,0.4,0.58,1.0,0.15
15,1.0,23.1,1.0,0.36
26,0.3,5.0,1.0,0.65
7,0.8,0.83,1.0,0.24
10,0.4,1.68,1.0,0.3
10,0.2,1.11,1.0,0.28
27,0.7,6.24,1.0,0.69
34,0.5,7.85,0.75,0.65
35,0.5,3.15,0.57,0.48
30,0.6,3.63,0.01,0.01
6,0.4,5.01,1.0,0.48
20,0.1,1.51,1.0,0.51
1,0.1,0.07,1.0,0.1
18,1.0,20.85,0.68,0.5
20,0.8,22.64,1.0,0.71
25,0.6,12.41,1.0,0.7
25,0.2,2.29,1.0,0.58
4,0.6,0.85,1.0,0.17
38,0.8,5.82,0.76,0.69
7,0.5,0.49,1.0,0.22
13,1.0,19.94,1.0,0.47
34,0.8,11.97,0.76,0.69
22,0.5,8.15,1.0,0.66
11,0.9,14.09,1.0,0.36
13,0.5,5.87,1.0,0.41
12,0.4,4.11,1.0,0.36
23,0.2,0.78,1.0,0.62
