dataset,alc
15,0.1
16,0.28
17,0.46
18,0.32
19,0.32
20,0.45
21,0.13
22,0.03
23,-0.48
24,0.14
25,0.66
26,0.0
27,0.53
28,0.24
29,0.26
AVERAGE,0.23
