dataset,alc
15,0.51
16,0.0
17,0.0
18,0.15
19,0.0
20,0.43
21,0.47
22,0.07
23,0.38
24,0.0
25,0.68
26,-0.27
27,0.01
28,0.0
29,0.39
AVERAGE,0.19
