dataset,alc
15,0.41
16,0.0
17,0.06
18,0.36
19,0.34
20,0.41
21,0.12
22,0.06
23,0.0
24,0.13
25,0.67
26,-0.95
27,0.13
28,0.0
29,0.42
AVERAGE,0.14
