A,p,t,R_train_A_p,R_validation_A_p
7,0.1,1.28,1.0,0.25
36,0.1,1.92,0.88,0.12
37,0.1,0.96,0.88,0.12
1,0.2,1.42,0.23,0.07
4,0.2,3.74,1.0,0.19
35,0.3,3.68,0.83,0.29
0,0.4,1.37,0.03,0.03
2,0.5,5.87,1.0,0.21
3,0.8,8.03,0.99,0.2
34,1.0,17.18,0.77,0.36
37,1.0,2.87,0.77,0.36
0,1.0,2.39,0.02,0.02
1,1.0,3.74,0.11,0.09
2,1.0,9.71,0.99,0.22
3,1.0,11.5,0.99,0.22
4,1.0,13.15,0.99,0.22
5,1.0,4.4,0.4,0.31
6,1.0,8.87,0.74,0.43
8,1.0,15.78,1.0,0.34
9,1.0,18.16,1.0,0.34
10,1.0,7.35,0.97,0.12
11,1.0,11.22,0.99,0.15
12,1.0,16.48,1.0,0.17
13,1.0,8.65,1.0,0.2
14,1.0,16.18,1.0,0.2
15,1.0,15.03,0.97,0.12
16,1.0,5.38,0.92,0.14
17,1.0,19.99,0.85,0.17
18,1.0,16.93,0.77,0.21
19,1.0,16.85,0.7,0.21
20,1.0,929.92,None,None
