dataset,alc
15,0.1
16,0.44
17,0.03
18,0.17
19,0.09
20,0.35
21,0.14
22,0.1
23,0.0
24,-0.15
25,0.36
26,-0.3
27,0.25
28,0.24
29,0.34
AVERAGE,0.14
