A,p,t,R_train_A_p,R_validation_A_p
0,0.1,21.27,0.94,0.09
1,0.1,27.48,1.0,0.11
2,0.1,5.95,1.0,0.06
3,0.1,6.47,1.0,0.06
4,0.1,2.49,1.0,0.06
5,0.1,24.72,0.94,0.09
6,0.1,31.79,1.0,0.11
7,0.1,6.56,1.0,0.07
8,0.1,6.61,1.0,0.07
9,0.1,5.17,1.0,0.07
10,0.1,9.28,1.0,0.09
11,0.1,18.05,1.0,0.09
12,0.1,8.41,1.0,0.1
13,0.1,21.9,1.0,0.11
14,0.1,9.95,1.0,0.11
15,0.1,17.9,1.0,0.09
16,0.1,8.93,0.74,0.09
17,0.1,26.87,0.39,0.09
18,0.1,27.59,0.25,0.1
19,0.1,12.9,0.17,0.1
20,0.1,38.12,0.47,0.15
21,0.1,82.58,0.48,0.15
22,0.1,80.6,0.48,0.15
23,0.1,81.65,0.47,0.15
24,0.1,55.75,0.47,0.15
25,0.1,151.73,0.63,0.15
26,0.1,66.73,0.63,0.13
27,0.1,113.48,0.62,0.14
28,0.1,164.13,0.62,0.14
29,0.1,64.94,None,None
