A,p,t,R_train_A_p,R_validation_A_p
37,0.1,18.99,0.04,0.04
33,0.1,26.71,0.04,0.04
36,0.1,10.39,0.04,0.04
34,0.1,21.97,0.04,0.04
35,0.1,17.93,0.02,0.02
39,0.1,17.89,0.04,0.04
32,0.1,20.44,0.04,0.04
31,0.1,26.93,0.04,0.03
39,0.2,43.39,0.05,0.05
37,0.2,38.94,0.05,0.05
36,0.2,25.78,0.05,0.05
39,0.3,62.77,0.06,0.06
37,0.3,57.17,0.06,0.06
31,0.3,72.0,0.05,0.05
39,0.4,80.18,0.07,0.06
37,0.4,76.56,0.07,0.06
39,0.5,98.93,0.07,0.07
37,0.6,115.84,0.08,0.07
33,0.6,165.72,0.08,0.08
39,0.7,139.9,0.09,0.08
33,0.8,61.57,None,None
