A,p,t,R_train_A_p,R_validation_A_p
32,0.1,1.8,0.69,0.38
35,0.1,0.74,0.72,0.36
39,0.1,0.78,0.8,0.37
38,0.1,0.74,0.8,0.37
37,0.1,0.73,0.8,0.37
30,0.1,1.03,0.45,0.44
36,0.1,0.5,0.79,0.37
34,0.1,1.81,0.8,0.37
31,0.1,1.77,0.49,0.39
33,0.1,2.5,0.79,0.37
23,0.1,150.93,0.99,-1.38
26,0.1,114.53,0.99,-2.21
39,0.2,1.43,0.78,0.41
26,0.3,248.83,0.99,-1.18
32,0.3,4.87,0.61,0.46
39,0.4,2.74,0.76,0.46
32,0.5,7.73,0.58,0.48
35,0.5,2.78,0.6,0.44
39,0.5,3.44,0.76,0.47
38,0.5,3.25,0.76,0.47
37,0.5,3.17,0.76,0.47
30,0.5,3.61,0.47,0.48
36,0.5,2.28,0.74,0.47
34,0.5,10.2,0.75,0.47
31,0.5,6.51,0.5,0.48
33,0.5,12.25,0.72,0.47
23,0.5,432.69,0.98,-1.68
26,0.5,176.36,None,None
