dataset,alc
15,0.5
16,0.27
17,0.32
18,0.29
19,0.24
20,0.45
21,0.1
22,0.11
23,0.12
24,0.09
25,0.56
26,-0.16
27,0.58
28,0.24
29,0.38
AVERAGE,0.27
