dataset,alc
15,0.5
16,0.28
17,0.39
18,0.32
19,0.24
20,0.5
21,0.13
22,0.11
23,0.17
24,0.12
25,0.61
26,-0.13
27,0.6
28,0.24
29,0.39
AVERAGE,0.3
