dataset,alc
15,0.0
16,0.0
17,0.01
18,0.36
19,0.35
20,0.38
21,0.07
22,0.1
23,0.0
24,0.0
25,0.62
26,-0.0
27,0.25
28,0.23
29,0.38
AVERAGE,0.18
