dataset,alc
15,0.21
16,0.17
17,0.0
18,0.31
19,0.42
20,0.54
21,0.48
22,0.06
23,0.48
24,-0.01
25,0.52
26,-0.03
27,0.54
28,0.24
29,0.41
AVERAGE,0.29
